State,expanded
Alaska,True
Arizona,True
Arkansas,True
California,True
Colorado,True
Connecticut,True
Delaware,True
District of Columbia,True
Florida,False
Georgia,False
Hawaii,True
Idaho,True
Illinois,True
Indiana,True
Iowa,True
Kansas,False
Kentucky,True
Louisiana,True
Maine,True
Maryland,True
Massachusetts,True
Michigan,True
Minnesota,True
Mississippi,False
Missouri,True
Montana,True
Nebraska,True
Nevada,True
New Hampshire,True
New Jersey,True
New Mexico,True
New York,True
North Carolina,True
North Dakota,True
Ohio,True
Oklahoma,True
Oregon,True
Pennsylvania,True
Rhode Island,True
South Carolina,False
South Dakota,True
Tennessee,False
Texas,False
Utah,True
Vermont,True
Virginia,True
Washington,True
West Virginia,True
Wisconsin,False
Wyoming,False
